第二天堂 	林俊杰 	第二天堂 
第二天堂 	林俊杰 	子弹列车 
伟大的渺小 	林俊杰 	四点四十四 
编号89757 	林俊杰 	莎士比亚的天份 
100天 	MC Hotdog 	加油！ 
JJ陆 	林俊杰 	黑武士 
妈妈的娜鲁娃 (原住民版) 	巴筱艾 	妈妈的娜鲁娃(Demo) - demo 
100天 	林俊杰 	无法克制 
JJ陆 	林俊杰 	醉赤壁 
100天 	林俊杰 	背对背拥抱 
JJ陆 	林俊杰 	由你选择 
2infinity And Beyond 	林俊杰 	2infinity And Beyond 
丹宁执着 	林俊杰 	丹宁执着 
100天 	林俊杰 	曙光 
Hurray一起摇 	林俊杰 	Hurray一起摇 
100天 	林俊杰 	爱不会绝迹 
西界 	林俊杰 	独白 
超越无限 	林俊杰 	超越无限 
100天 	林俊杰 	转动 
新地球 	林俊杰 	茉莉雨 
因你而在 	林俊杰 	黑暗骑士 
因你而在 	林俊杰 	零度的亲吻 
100天 	林俊杰 	妈妈的娜鲁娃 
JJ陆 	林俊杰 	我还想她 
100天 	林俊杰 	表达爱 
2006就是俊杰世界巡回演唱会 	林俊杰 	忘记 (Live) - live 
2006就是俊杰世界巡回演唱会 	林俊杰 	木乃伊 (Live) - live 
JJ陆 	林俊杰 	期待爱 
新地球 	林俊杰 	Checkmate (Bonus Track) 
西界 	林俊杰 	杀手@续 
因你而在 	林俊杰 	飞机 
100天 	林俊杰 	Still Moving Under Gunfire 
 Love & Dance Hit Songs 	林俊杰 	不懂 
 Love & Dance Hit Songs 	林俊杰 	会读书 
曹操 	林俊杰 	你要的不是我 
2006就是俊杰世界巡回演唱会 	林俊杰 	爱笑的眼睛 (Live) - live 
2006就是俊杰世界巡回演唱会 	林俊杰 	就是我 (Live) - live 
西界 	林俊杰 	L-O-V-E 
曹操 	林俊杰 	Now That She's Gone 
2006就是俊杰世界巡回演唱会 	林俊杰 	被风吹过的夏天 (Live) - live 
2006就是俊杰世界巡回演唱会 	林俊杰 	记得 (Live) - live 
 Love & Dance Hit Songs 	林俊杰 	害怕 
西界 	林俊杰 	Baby Baby 
2006就是俊杰世界巡回演唱会 	林俊杰 	I Do (Live) - live 
曹操 	林俊杰 	Down (Demo) - demo 
 Love & Dance Hit Songs 	林俊杰 	江南 
西界 	林俊杰 	不流泪的机场 
 Love & Dance Hit Songs 	林俊杰 	第二天堂 
2006就是俊杰世界巡回演唱会 	林俊杰 	一千年以后 (Live) - live 
2006就是俊杰世界巡回演唱会 	林俊杰 	子弹列车 (Live) - live 
 Love & Dance Hit Songs 	林俊杰 	曹操 
2006就是俊杰世界巡回演唱会 	林俊杰 	进化论 (Live) - live 
 Love & Dance Hit Songs 	林俊杰 	原来 
 Love & Dance Hit Songs 	林俊杰 	西界 
2006就是俊杰世界巡回演唱会 	林俊杰 	Encore (Live) - live 
2006就是俊杰世界巡回演唱会 	林俊杰 	英雄再现 (Live) - live 
2006就是俊杰世界巡回演唱会 	林俊杰 	莎郎嘿哟只对你说 (Live) - live 
 Love & Dance Hit Songs 	林俊杰 	杀手 
 Love & Dance Hit Songs 	林俊杰 	波间带 
 Love & Dance Hit Songs 	林俊杰 	简简单单 
2006就是俊杰世界巡回演唱会 	林俊杰 	江南 (Live) - live 
2006就是俊杰世界巡回演唱会 	林俊杰 	第二天堂 (Live) - live 
 Love & Dance Hit Songs 	林俊杰 	不流泪的机场 
 Love & Dance Hit Songs 	林俊杰 	木乃伊 
 Love & Dance Hit Songs 	林俊杰 	背对背拥抱 
 Love & Dance Hit Songs 	林俊杰 	X 
 Love & Dance Hit Songs 	林俊杰 	她说 
 Love & Dance Hit Songs 	林俊杰 	期待爱 
 Love & Dance Hit Songs 	林俊杰 	第几个100天 
 Love & Dance Hit Songs 	林俊杰 	爱与希望 
 Love & Dance Hit Songs 	林俊杰 	街道 
 Love & Dance Hit Songs 	林俊杰 	小酒窝(独唱) 
 Love & Dance Hit Songs 	林俊杰 	加油! 
 Love & Dance Hit Songs 	林俊杰 	爱笑的眼睛 
 Love & Dance Hit Songs 	林俊杰 	一千年以后 
 Love & Dance Hit Songs 	林俊杰 	不潮不用花钱 
2006就是俊杰世界巡回演唱会 	林俊杰 	决战时刻 (Live) - live 
 Love & Dance Hit Songs 	林俊杰 	编号89757 
2006就是俊杰世界巡回演唱会 	林俊杰 	幕后英雄 (Live) - live 
西界 	林俊杰 	江南(粤语版) 
2006就是俊杰世界巡回演唱会 	林俊杰 	听不懂 没关系 (Live) - live 
2006就是俊杰世界巡回演唱会 	林俊杰 	熟能生巧 (Live) - live 
 Love & Dance Hit Songs 	林俊杰 	子弹列车 
西界 	林俊杰 	自由不变 
 Love & Dance Hit Songs 	林俊杰 	跟屁虫 
西界 	林俊杰 	发现爱 
曹操 	林俊杰 	进化论 
曹操 	林俊杰 	爱情Yogurt 
西界 	林俊杰 	大男人·小女孩 
因你而在 	林俊杰 	一千年后记得我 
2006就是俊杰世界巡回演唱会 	林俊杰 	明天 (Live) - live 
 Love & Dance Hit Songs 	林俊杰 	就是我 
曹操 	林俊杰 	不死之身 
曹操 	林俊杰 	波间带 
曹操 	林俊杰 	熟能生巧 
因你而在 	林俊杰 	以后要做的事 
 Love & Dance Hit Songs 	林俊杰 	翅膀 
曹操 	林俊杰 	原来 
西界 	林俊杰 	K-O 
2006就是俊杰世界巡回演唱会 	林俊杰 	善与恶 (Live) - live 
因你而在 	林俊杰 	友人说 
曹操 	林俊杰 	曹操 
西界 	林俊杰 	无聊 
西界 	林俊杰 	单挑 
2006就是俊杰世界巡回演唱会 	林俊杰 	翅膀 (Live) - live 
因你而在 	林俊杰 	十秒的冲动 
 Love & Dance Hit Songs 	林俊杰 	他... 是JJ林俊杰... Dance~(就是我、编号89757、曹操、期待爱、不潮不用花钱) 
JJ陆 	林俊杰 	爱与希望 
因你而在 	林俊杰 	裂缝中的阳光 
因你而在 	林俊杰 	One Shot 
2006就是俊杰世界巡回演唱会 	林俊杰 	开场白 (Live) - live 
 Love & Dance Hit Songs 	林俊杰 	他... 是JJ林俊杰... Love~(江南、害怕、小酒窝(solo)、背对背拥抱、她说) 
流行主教(限量预购单曲) 	林俊杰 	流行主教 
JJ陆 	林俊杰 	Cries in a Distance 
曹操 	林俊杰 	只对你说 (莎朗嘿唷) 
新地球 	林俊杰 	Lamando 
西界 	林俊杰 	杀手 
第二天堂 	林俊杰 	Endless Road 
西界 	林俊杰 	西界 
因你而在 	林俊杰 	修炼爱情 
JJ陆 	林俊杰 	点一把火炬 
新地球 	林俊杰 	生生 
第二天堂 	林俊杰 	未完成 
因你而在 	林俊杰 	巴洛克先生 
第二天堂 	林俊杰 	美人鱼 
JJ陆 	林俊杰 	主角 
新地球 	林俊杰 	爱的鼓励 
100天 	林俊杰 	一个又一个 
因你而在 	林俊杰 	因你而在 
新地球 	林俊杰 	I Am Alive 
第二天堂 	林俊杰 	距离 
JJ陆 	林俊杰 	街道 
伟大的渺小 	林俊杰 	Until The Day 
伟大的渺小 	林俊杰 	伟大的渺小 
100天 	林俊杰 	跟屁虫 
JJ陆 	林俊杰 	Always Online 
新地球 	林俊杰 	可惜没如果 
乐行者 	林俊杰 	不懂 
第二天堂 	林俊杰 	相信无限 
新地球 	林俊杰 	手心的蔷薇 
第二天堂 	林俊杰 	精灵 
编号89757 	林俊杰 	一千年以后 
乐行者 	林俊杰 	女儿家 
乐行者 	林俊杰 	让我心动的人 
新地球 	林俊杰 	黑鍵 
乐行者 	林俊杰 	会有那么一天 
第二天堂 	林俊杰 	森林浴 
乐行者 	林俊杰 	星空下的吻 
编号89757 	林俊杰 	来不及了 
新地球 	林俊杰 	浪漫血液 
乐行者 	林俊杰 	冻结 
伟大的渺小 	林俊杰 	Until the Day 
JJ陆 	林俊杰 	小酒窝 
乐行者 	林俊杰 	压力 
100天 	林俊杰 	第几个一百天 
第二天堂 	林俊杰 	天使心 
新地球 	林俊杰 	水仙 
乐行者 	林俊杰 	星球 
第二天堂 	林俊杰 	害怕 
伟大的渺小 	林俊杰 	小瓶子 
伟大的渺小 	林俊杰 	身为风帆 
编号89757 	林俊杰 	听不懂 没关系 
编号89757 	林俊杰 	盗 
100天 	林俊杰 	X 
乐行者 	林俊杰 	会读书 
第二天堂 	林俊杰 	江南 
JJ陆 	林俊杰 	不潮不用花钱 
听见幸福 	林俊杰 	听见幸福 
伟大的渺小 	林俊杰 	丹宁执着 
伟大的渺小 	林俊杰 	黑夜问白天 
乐行者 	林俊杰 	翅膀 
新地球 	林俊杰 	新地球 
第二天堂 	林俊杰 	豆浆油条 
编号89757 	林俊杰 	无尽的思念 
小瓶子 	林俊杰 	小瓶子 
编号89757 	林俊杰 	简简单单 
新地球 	林俊杰 	回 
伟大的渺小 	林俊杰 	剪云者 
乐行者 	林俊杰 	就是我 
JJ陆 	林俊杰 	SIXOLOGY 
编号89757 	林俊杰 	明天 
黑夜问白天 	林俊杰 	黑夜问白天 
第二天堂 	林俊杰 	起床了 
伟大的渺小 	林俊杰 	我继续 
编号89757 	林俊杰 	突然累了 
第二天堂 	林俊杰 	一开始 
编号89757 	林俊杰 	编号89757 
I Pray For You 	林俊杰 	I Pray For You 
伟大的渺小 	林俊杰 	穿越 
伟大的渺小 	林俊杰 	伟大的渺小 
感动每一刻 	林俊杰 	感动每一刻 
Our Singapore 	林俊杰 	Our Singapore 
编号89757 	林俊杰 	木乃伊 
伟大的渺小 	林俊杰 	圣所 
Cheer Singapore 	林俊杰 	Cheer Singapore 
Dreams (Theme of "Chingay Parade Singapore 2015") 	林俊杰 	Dreams (Theme of "Chingay Parade Singapore 2015") 
只要有你的地方 	林俊杰 	只要有你的地方 
编号89757 	林俊杰 	一千年以前 
全面开战 	林俊杰 	全面开战 
你，有没有过 	林俊杰 	你，有没有过 
不为谁而作的歌 	林俊杰 	不为谁而作的歌 
和自己对话-感动双推荐 	林俊杰 	只要有你的地方(晚安版) 
100天Love音乐实录 	林俊杰 	第几个100天 
