内地 ------------------------------------------------------- 2018-02-12 11:07:18
01 96.56 	 发布时间：2018-01-11 	 渡 官方版 	 薛之谦 
02 92.74 	 发布时间：2018-02-08 	 橙色天空 官方版 	 许魏洲 
03 92.72 	 发布时间：2018-01-18 	 像风一样 官方版 	 薛之谦 
04 88.96 	 发布时间：2017-12-27 	 别 官方版 	 薛之谦 
05 88.48 	 发布时间：2018-01-04 	 骆驼 官方版 	 薛之谦 
06 83.35 	 发布时间：2018-01-24 	 迷宫 电影《移动迷宫3:死亡解药》推广曲 	 许魏洲 
07 77.28 	 发布时间：2018-01-26 	 Mad Love 官方版 	 MIC男团 
08 77.11 	 发布时间：2018-01-17 	 因为有你 官方版 	 王博文 
09 64.38 	 发布时间：2018-02-06 	 将军令 官方版 	 七朵组合 
10 57.43 	 发布时间：2018-02-02 	 Monster 中文版 	 Henry 
11 49.14 	 发布时间：2018-01-05 	 体面 电影《前任3:再见前任》插曲 	 于文文 
12 34.39 	 发布时间：2017-12-26 	 為心導航 	 EXO 
13 33.26 	 发布时间：2018-02-02 	 不解释 官方版 	 SWIN组合 
14 32.96 	 发布时间：2018-02-01 	 粉红色的回忆 电影《唐人街探案2》拜年歌 	 王宝强 
15 31.90 	 发布时间：2018-02-08 	 像小时候一样 电影《熊出没·变形记》主题曲 	 郁可唯 
16 28.22 	 发布时间：2018-02-07 	 喜欢 官方版 	 弦子 
17 27.97 	 发布时间：2018-02-09 	 漂亮重要吗 电影《祖宗十九代》主题曲 	 岳云鹏 
18 27.10 	 发布时间：2018-01-25 	 无所畏惧 电影《麦兵兵之夺宝联“萌”》宣传曲 	 袁娅维 
19 27.08 	 发布时间：2018-01-31 	 辈分歌 电影《祖宗十九代》宣传曲 	 岳云鹏 
20 23.30 	 发布时间：2018-01-31 	 Beggar 官方版 	 黄子韬 
21 21.99 	 发布时间：2018-02-09 	 恭喜发财歌 官方版 	 赵慧仙 
22 21.05 	 发布时间：2017-12-27 	 MOOD 官方版 	 孟佳JIA 
23 19.18 	 发布时间：2018-01-08 	 女儿情 电影《西游记女儿国》片尾曲 	 Henry 
24 18.80 	 发布时间：2018-02-09 	 爱情真理 官方版 	 张赫宣 
25 18.25 	 发布时间：2018-02-05 	 不许离开我 电影《南极之恋》推广曲 	 赵英俊 
26 16.78 	 发布时间：2018-02-09 	 崎途 电影《神秘巨星》推广曲 	 谢春花 
27 16.20 	 发布时间：2018-01-03 	 本色英雄 电影《英雄本色2018》推广曲 	 高进 
28 16.15 	 发布时间：2017-12-27 	 Happy扭腰 电影《唐人街探案2》主题曲 	 南征北战NZBZ 
29 16.09 	 发布时间：2018-01-24 	 世上只有爸爸好 电影《熊出没·变形记》片尾曲 	 赵英俊 
30 14.27 	 发布时间：2018-01-04 	 Lady Killer 电影《谜巢》主题曲 	 张靓颖 
31 14.26 	 发布时间：2018-01-22 	 一起红火火 电影《捉妖记2》新年推广曲 	 凤凰传奇 
32 13.43 	 发布时间：2018-01-24 	 我是谁 电影《神秘巨星》中文版主题曲 	 黄渤 
33 13.01 	 发布时间：2018-02-09 	 爱超给电 官方版 	 向洋 
34 11.79 	 发布时间：2017-12-28 	 无问 电影《无问西东》宣传曲 	 毛不易 
35 11.64 	 发布时间：2018-01-31 	 哦啦啦耶 官方版 	 南征北战NZBZ 
36 11.22 	 发布时间：2018-01-29 	 覅忒好 官方版 	 胡彦斌 
37 10.76 	 发布时间：2018-01-15 	 一抹伤 官方版 	 孙露 
38 10.40 	 发布时间：2018-01-16 	 如我 官方版 	 刘惜君 
39 10.38 	 发布时间：2018-02-06 	 No Way 官方版 	 徐真真 
40 10.26 	 发布时间：2018-01-09 	 往事流弹 电影《英雄本色2018》往事版推广曲 	 王凯 
41 9.07 	 发布时间：2018-01-19 	 十九岁 官方版 	 赵雷 
42 8.80 	 发布时间：2017-12-28 	 非酋 官方版 	 薛明媛 
43 8.76 	 发布时间：2018-01-22 	 返老还童 官方版 	 胡彦斌 
44 8.65 	 发布时间：2018-01-15 	 你要的全拿走 官方版 	 胡彦斌 
45 8.38 	 发布时间：2018-02-06 	 彩虹魔法 电影《小马宝莉大电影》主题曲 	 王栎鑫 
46 8.30 	 发布时间：2018-02-01 	 好好地 电影《泡芙小姐》推广曲 	 朴树 
47 8.25 	 发布时间：2018-01-01 	 FAST 	 张杰 
48 7.68 	 发布时间：2018-01-16 	 近了远了 官方版 	 严屹宽 
49 7.60 	 发布时间：2017-12-26 	 雾中列车 电影《解忧杂货店》宣传曲 	 李健 
50 6.91 	 发布时间：2018-01-29 	 嗜睡症 官方版 	 刘惜君 




港台 ------------------------------------------------------- 2018-02-12 11:07:25
01 91.23 	 发布时间：2018-01-30 	 没离开过 电影《南极之恋》推广曲 	 张韶涵 
02 89.81 	 发布时间：2018-02-11 	 什么歌 电影《捉妖记2》主题曲 	 五月天 
03 77.63 	 发布时间：2018-01-22 	 剩下了自己 电视剧《恋爱先生》主题曲 	 张韶涵 
04 66.88 	 发布时间：2017-12-27 	 黑夜问白天 官方版 	 林俊杰 
05 56.65 	 发布时间：2018-01-24 	 小瓶子 官方版 	 林俊杰 
06 52.62 	 发布时间：2018-02-03 	 我继续 Eagle’s Eye 官方版 	 林俊杰 
07 39.10 	 发布时间：2018-02-05 	 声优 官方版 	 林采欣 
08 33.43 	 发布时间：2018-01-30 	 我们真的幸福了吗 	 彭佳慧 
09 28.40 	 发布时间：2018-02-11 	 家里 官方版 	 朱主爱 
10 26.27 	 发布时间：2018-01-13 	 无问西东 电影《无问西东》同名推广曲 	 王菲 
11 22.90 	 发布时间：2017-12-30 	 什么什么 电影《捉妖记2》主题曲 	 蔡依林 
12 21.23 	 发布时间：2018-02-06 	 我知道要微笑 	 周兴哲 
13 17.07 	 发布时间：2018-01-01 	 20 官方版 	 王心凌 
14 16.27 	 发布时间：2018-01-11 	 眉飞色舞PLUS 官方版 	 郑秀文 
15 12.62 	 发布时间：2017-12-29 	 粉丝 电影《二代妖精之今生有幸》片尾曲 	 刘若英 
16 11.75 	 发布时间：2018-01-10 	 沉重 官方版 	 梁晓珺 
17 11.18 	 发布时间：2018-01-25 	 逍遙年代 官方版 	 邰正宵 
18 10.60 	 发布时间：2018-02-05 	 名不虚传 官方版 	 赵传 
19 9.66 	 发布时间：2018-01-16 	 再见英雄 电影《英雄本色2018》主题曲 	 王力宏 
20 9.61 	 发布时间：2017-12-27 	 可惜了 官方版 	 齐秦 
21 9.06 	 发布时间：2018-01-25 	 不会哭的人 官方版 	 品冠 
22 7.33 	 发布时间：2017-12-26 	 奇迹 官方版 	 南拳妈妈 
23 6.75 	 发布时间：2018-02-06 	 遗忘 官方版 	 庆庆 
24 6.52 	 发布时间：2018-01-18 	 Shanghai Was Lit 官方版 	 蔡诗芸 
25 5.25 	 发布时间：2017-12-26 	 安可 官方版 	 SpeXial 
26 4.97 	 发布时间：2017-12-28 	 黏黏 官方版 	 周兴哲 
27 3.85 	 发布时间：2018-01-12 	 心里学 官方版 	 徐佳莹 
